Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.457705,21.608761,21.359516,21.586103,10.498002,38576858
2010-01-05,21.676737,21.699396,21.412388,21.480364,10.446581,46650478
2010-01-06,21.110271,21.170694,20.808157,20.853474,10.293718,50172450
2010-01-07,20.830816,20.913897,20.483383,20.619335,10.178142,44486797
2010-01-08,20.611782,20.687311,20.302114,20.468279,10.103578,36586622
2010-01-11,20.528702,20.558912,20.279455,20.370090,10.055111,34147549
2010-01-12,20.279455,20.475830,20.226585,20.362537,10.051381,34831527
2010-01-13,20.392750,20.468279,20.037764,20.120846,9.932077,56390352
2010-01-14,20.120846,20.279455,19.697886,19.780968,9.764307,55933836
2010-01-15,19.826284,19.841391,19.373112,19.478851,9.615172,84760229
2010-01-19,19.577040,19.826284,19.486404,19.788521,9.768034,44965291
2010-01-20,19.660122,19.660122,19.410875,19.509064,9.630090,51751188
2010-01-21,19.577040,19.622356,19.184290,19.388218,9.570436,53059168
2010-01-22,19.274923,19.509064,19.154079,19.176737,9.466045,50814723
2010-01-25,19.433535,19.561934,19.123867,19.320242,9.536882,39589586
2010-01-26,19.184290,19.267372,18.927492,19.131420,9.443673,45239226
2010-01-27,19.040785,19.728098,18.957705,19.350452,9.551795,78105143
2010-01-28,19.410875,19.750755,19.101208,19.290030,9.521970,68925984
2010-01-29,19.342899,19.448641,19.146526,19.154079,9.454861,51531404
2010-02-01,19.388218,19.418428,19.093657,19.169184,9.462315,48689306
2010-02-02,19.161631,19.516617,19.086103,19.403322,9.577891,41202615
2010-02-03,19.358006,19.493958,19.184290,19.320242,9.536882,30391228
2010-02-04,19.206949,19.252266,18.904835,18.904835,9.331831,42811010
2010-02-05,18.972811,19.116314,18.851965,19.063444,9.410120,67369357
2010-02-08,19.025681,19.086103,18.851965,18.867069,9.313187,35977184
2010-02-09,19.018127,19.199396,18.919941,19.078550,9.417579,46259501
2010-02-10,19.055891,19.070997,18.889729,18.972811,9.365381,35283938
2010-02-11,18.919941,19.169184,18.753777,19.025681,9.391479,36339828
2010-02-12,18.904835,18.995468,18.776436,18.935045,9.346740,45165744
2010-02-16,19.108761,19.252266,18.980364,19.123867,9.439946,34296499
2010-02-17,19.191843,19.274923,19.033234,19.184290,9.469772,25826341
2010-02-18,19.184290,19.282476,19.003021,19.063444,9.410120,35785734
2010-02-19,19.033234,19.184290,18.897282,18.957705,9.357924,45942270
2010-02-22,18.980364,19.003021,18.859516,18.897282,9.328102,41185403
2010-02-23,18.882175,18.904835,18.753777,18.753777,9.257263,37754919
2010-02-24,18.791540,18.844412,18.731117,18.814199,9.287088,38357339
2010-02-25,18.700907,18.776436,18.587612,18.708460,9.234896,39168157
2010-02-26,18.776436,18.814199,18.663141,18.738670,9.249808,38639484
2010-03-01,18.814199,18.935045,18.753777,18.882175,9.320643,32975544
2010-03-02,18.882175,18.927492,18.663141,18.791540,9.275904,44224248
2010-03-03,18.904835,18.904835,18.738670,18.799093,9.279633,27400312
2010-03-04,18.806646,18.882175,18.731117,18.851965,9.305732,38040109
2010-03-05,18.904835,18.919941,18.746223,18.874622,9.316914,37017848
2010-03-08,18.919941,19.154079,18.806646,19.093657,9.425032,32679895
2010-03-09,19.138973,19.433535,19.108761,19.305136,9.529425,57545277
2010-03-10,19.342899,19.425982,19.161631,19.274923,9.514509,31161267
2010-03-11,19.199396,19.335346,19.108761,19.335346,9.544336,28811034
2010-03-12,19.403322,19.433535,19.191843,19.350452,9.551795,23591164
2010-03-15,19.395769,19.486404,19.305136,19.471298,9.611446,26904077
2010-03-16,19.531721,19.629910,19.418428,19.524170,9.637547,23329410
2010-03-17,19.599697,19.629910,19.524170,19.561934,9.656186,23969961
2010-03-18,19.607250,19.705439,19.561934,19.682779,9.715839,22520710
2010-03-19,19.818731,19.871601,19.629910,19.818731,9.782945,47487511
2010-03-22,19.780968,20.045317,19.697886,19.939577,9.842599,32488842
2010-03-23,20.000000,20.067976,19.886707,20.052870,9.898521,24012461
2010-03-24,19.954683,20.015106,19.728098,19.833838,9.790401,27038728
2010-03-25,19.962236,19.969790,19.720545,19.750755,9.749393,31899132
2010-03-26,19.765862,20.015106,19.720545,19.818731,9.782945,23911175
2010-03-29,19.901814,20.067976,19.864048,20.022659,9.883608,26903415
2010-03-30,19.811178,19.886707,19.516617,19.599697,9.674824,69180324
2010-03-31,19.561934,19.667673,19.448641,19.516617,9.633817,48599406
2010-04-01,19.675226,19.796074,19.569487,19.720545,9.734478,27218395
2010-04-05,19.864048,19.909367,19.735649,19.871601,9.809046,31740517
2010-04-06,19.841391,19.909367,19.750755,19.871601,9.809046,28293350
2010-04-07,19.637463,19.660122,19.244713,19.373112,9.718115,41533615
2010-04-08,19.342899,19.682779,19.335346,19.652569,9.858297,48399747
2010-04-09,19.720545,20.022659,19.682779,19.969790,10.017426,52618408
2010-04-12,20.067976,20.143505,19.894260,19.924471,9.994694,30372163
2010-04-13,19.879154,19.962236,19.652569,19.788521,9.926492,50332787
2010-04-14,19.765862,19.818731,19.652569,19.818731,9.941649,36690688
2010-04-15,19.758308,19.864048,19.667673,19.818731,9.941649,37060614
2010-04-16,19.788521,19.901814,19.569487,19.584593,9.824202,42343506
2010-04-19,19.705439,19.977341,19.599697,19.924471,9.994694,44089597
2010-04-20,19.954683,20.196375,19.909367,20.135952,10.100777,45651123
2010-04-21,20.196375,20.203926,19.743202,19.894260,9.979538,59248735
2010-04-22,19.705439,19.871601,19.478851,19.841391,9.953019,43619048
2010-04-23,19.765862,19.856495,19.629910,19.826284,9.945441,37099672
2010-04-26,19.811178,19.954683,19.796074,19.841391,9.953019,23540720
2010-04-27,19.788521,19.871601,19.546827,19.599697,9.831776,44845336
2010-04-28,19.637463,19.712992,19.358006,19.569487,9.816624,45223471
2010-04-29,19.697886,19.864048,19.592146,19.743202,9.903761,33938092
2010-04-30,19.796074,20.015106,19.675226,19.682779,9.873453,44673084
2010-05-03,19.818731,19.962236,19.690332,19.848944,9.956806,35849154
2010-05-04,19.879154,19.962236,19.448641,19.561934,9.812836,41520640
2010-05-05,19.561934,19.743202,19.441088,19.463745,9.763579,44335994
2010-05-06,19.418428,19.441088,18.157101,18.987915,9.524890,89717682
2010-05-07,19.040785,19.252266,18.708460,18.957705,9.509734,68006068
2010-05-10,19.463745,19.652569,19.184290,19.388218,9.725694,54065408
2010-05-11,19.259819,19.493958,19.138973,19.365559,9.714325,42857880
2010-05-12,19.433535,19.554380,19.305136,19.501511,9.782525,38826168
2010-05-13,19.486404,19.614803,19.350452,19.441088,9.752214,30376400
2010-05-14,19.433535,19.471298,19.018127,19.184290,9.623398,50045876
2010-05-17,19.222054,19.554380,19.101208,19.463745,9.763579,39622024
2010-05-18,19.531721,19.561934,19.116314,19.327795,9.695385,50265925
2010-05-19,19.282476,19.418428,19.108761,19.312689,9.687807,40770991
2010-05-20,19.093657,19.108761,18.776436,18.851965,9.456693,54600833
2010-05-21,18.398792,18.783989,18.398792,18.768883,9.415016,71851097
2010-05-24,18.663141,18.693354,18.353474,18.451662,9.255890,39734564
2010-05-25,18.194864,18.421450,17.960726,18.368580,9.214215,69160861
2010-05-26,18.361027,18.444109,18.141994,18.225077,9.142227,49869916
2010-05-27,18.436556,18.625378,18.315710,18.602718,9.331666,36486130
2010-05-28,18.580059,18.678247,18.345921,18.353474,9.206635,40159700
2010-06-01,18.330816,18.731117,18.217524,18.376133,9.218004,39376952
2010-06-02,18.459215,18.723564,18.421450,18.716011,9.388494,33929883
2010-06-03,18.791540,18.829306,18.587612,18.731117,9.396070,31180730
2010-06-04,18.519636,18.534742,18.149548,18.255287,9.157382,48815615
2010-06-07,18.376133,18.617825,18.285498,18.368580,9.214215,49481455
2010-06-08,18.436556,18.904835,18.391239,18.859516,9.460483,54909987
2010-06-09,18.957705,19.040785,18.731117,18.806646,9.433957,43932041
